request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,full_payment: completes IDR 15656000 by 2025-08-03; total paid IDR 15656000. Projected 90-day minimum IDR 54331210.33 versus protected 24768300. Safe today before changes: IDR 15656000.
request_27,5378,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 5378.
request_28,263.91,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,wait: completes EUR 1302.4 by 2024-08-15; total paid EUR 1302.4. Projected 90-day minimum EUR 1363.91 versus protected 1100. Safe today before changes: EUR 263.91.
request_29,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 0.
request_30,50.01,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 50.01.
request_31,2519115.79,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,wait: completes IDR 18164000 by 2024-11-15; total paid IDR 18164000. Projected 90-day minimum IDR 19108015.79 versus protected 16588900. Safe today before changes: IDR 2519115.79.
request_32,7687.94,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 7687.94.
request_33,19652.65,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 19652.65.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,full_payment: completes INR 129400 by 2024-12-04; total paid INR 129400. Projected 90-day minimum INR 246448.95 versus protected 138500. Safe today before changes: INR 129400.
request_35,20932.78,affordable_later,wait,2026-01-15:212000,2026-01-15,none,wait: completes INR 212000 by 2026-01-15; total paid INR 212000. Projected 90-day minimum INR 127332.78 versus protected 106400. Safe today before changes: INR 20932.78.
request_36,530.14,affordable_later,wait,2026-09-15:3954,2026-09-15,none,wait: completes USD 3954 by 2026-09-15; total paid USD 3954. Projected 90-day minimum USD 2930.14 versus protected 2400. Safe today before changes: USD 530.14.
request_37,4045242.42,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,wait: completes IDR 14649000 by 2024-05-15; total paid IDR 14649000. Projected 90-day minimum IDR 21101442.42 versus protected 17056200. Safe today before changes: IDR 4045242.42.
request_38,159.1,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,wait: completes EUR 971.3 by 2025-10-15; total paid EUR 971.3. Projected 90-day minimum EUR 559.1 versus protected 400. Safe today before changes: EUR 159.1.
request_39,50280.3,affordable_later,wait,2026-06-15:208600,2026-06-15,none,wait: completes INR 208600 by 2026-06-15; total paid INR 208600. Projected 90-day minimum INR 247811.51 versus protected 213400. Safe today before changes: INR 50280.3.
request_40,295.68,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: EUR 295.68.
request_41,7386173.07,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,wait: completes IDR 38760000 by 2026-01-15; total paid IDR 38760000. Projected 90-day minimum IDR 32752773.07 versus protected 25366600. Safe today before changes: IDR 7386173.07.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,full_payment: completes INR 52100 by 2026-01-05; total paid INR 52100. Projected 90-day minimum INR 152394.5 versus protected 113100. Safe today before changes: INR 52100.
request_43,8066547.93,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,wait: completes IDR 43339000 by 2024-11-15; total paid IDR 43339000. Projected 90-day minimum IDR 29464547.93 versus protected 21398000. Safe today before changes: IDR 8066547.93.
request_44,27739.78,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 27739.78.
request_45,2827697.51,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,wait: completes IDR 21983000 by 2026-09-15; total paid IDR 21983000. Projected 90-day minimum IDR 13977497.51 versus protected 11149800. Safe today before changes: IDR 2827697.51.
request_46,33118.3,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,,stop:event_4195,installments: completes INR 49450 by 2024-12-31; total paid INR 51428. Projected 90-day minimum INR 89670.29 versus protected 84000. Safe today before changes: INR 33118.3. Requires the listed permitted recurring-spending changes.
request_47,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 0.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,full_payment: completes INR 45700 by 2026-07-25; total paid INR 45700. Projected 90-day minimum INR 72307.05 versus protected 71300. Safe today before changes: INR 45700.
request_49,11974188.05,not_affordable,not_recommended,none,2024-05-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 11974188.05.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,full_payment: completes INR 43900 by 2025-08-06; total paid INR 43900. Projected 90-day minimum INR 152879.18 versus protected 99700. Safe today before changes: INR 43900.
request_51,1942281.08,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: IDR 1942281.08.
request_52,18274.22,affordable_later,wait,2024-06-15:28870,2024-06-15,none,wait: completes INR 28870 by 2024-06-15; total paid INR 28870. Projected 90-day minimum INR 52113.77 versus protected 41500. Safe today before changes: INR 18274.22.
request_53,462.2,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4897,installments: completes USD 1699.2 by 2026-01-16; total paid USD 1767.18. Projected 90-day minimum USD 2205.92 versus protected 2100. Safe today before changes: USD 462.2. Requires the listed permitted recurring-spending changes.
request_54,1777.74,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 1777.74.
request_55,110247.99,not_affordable,not_recommended,none,2026-08-15,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 110247.99.
request_56,590.71,affordable_with_plan,partial_payment,2025-02-03:590.71|2025-02-15:290.85,2025-02-15,none,partial_payment: completes USD 881.56 by 2025-02-15; total paid USD 881.56. Projected 90-day minimum USD 2100 versus protected 2100. Safe today before changes: USD 590.71.
request_57,12349.83,affordable_later,wait,2026-06-15:61446,2026-06-15,none,wait: completes ZAR 61446 by 2026-06-15; total paid ZAR 61446. Projected 90-day minimum ZAR 55049.83 versus protected 42700. Safe today before changes: ZAR 12349.83.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,full_payment: completes IDR 16226000 by 2024-12-07; total paid IDR 16226000. Projected 90-day minimum IDR 20853260.83 versus protected 14433900. Safe today before changes: IDR 16226000.
request_59,92640.99,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 92640.99.
request_60,109.19,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,wait: completes USD 199.89 by 2026-02-15; total paid USD 199.89. Projected 90-day minimum USD 445.42 versus protected 400. Safe today before changes: USD 109.19.
request_61,28081.34,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,,reduce_to:event_5707:1373.08,installments: completes ZAR 29062 by 2024-05-18; total paid ZAR 30224.49. Projected 90-day minimum ZAR 36700.01 versus protected 36700. Safe today before changes: ZAR 28081.34. Requires the listed permitted recurring-spending changes.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,full_payment: completes USD 404.23 by 2025-08-05; total paid USD 404.23. Projected 90-day minimum USD 3279.7 versus protected 1300. Safe today before changes: USD 404.23.
request_63,32276.99,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 32276.99.
request_64,0,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: INR 0.
request_65,5458.45,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: ZAR 5458.45.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,full_payment: completes INR 22200 by 2026-04-03; total paid INR 22200. Projected 90-day minimum INR 209417.9 versus protected 80700. Safe today before changes: INR 22200.
request_67,244.94,affordable_later,wait,2024-11-15:2094,2024-11-15,none,wait: completes USD 2094 by 2024-11-15; total paid USD 2094. Projected 90-day minimum USD 1444.94 versus protected 1200. Safe today before changes: USD 244.94.
request_68,1258.58,not_affordable,not_recommended,none,,none,No accepted complete plan meets the deadline and the 90-day minimum-balance constraint. Safe today before changes: USD 1258.58.
request_69,454.85,affordable_with_plan,full_payment,2026-01-04:529.1,,reduce_to:event_6379:29.34|stop:event_6377,full_payment: completes EUR 529.1 by 2026-01-04; total paid EUR 529.1. Projected 90-day minimum EUR 700.01 versus protected 700. Safe today before changes: EUR 454.85. Requires the listed permitted recurring-spending changes.
request_70,49190.01,affordable_later,wait,2025-02-15:243900,2025-02-15,none,wait: completes INR 243900 by 2025-02-15; total paid INR 243900. Projected 90-day minimum INR 160447.07 versus protected 115000. Safe today before changes: INR 49190.01.
